,demand,forecast,error
0,28.0,,
1,19.0,28.0,-9.0
2,18.0,24.400000000000002,-6.400000000000002
3,13.0,21.84,-8.84
4,19.0,18.304,0.6960000000000015
5,16.0,18.5824,-2.5824
6,19.0,17.54944,1.4505599999999994
7,18.0,18.129664000000002,-0.12966400000000178
8,13.0,18.077798400000002,-5.0777984000000025
9,16.0,16.04667904,-0.04667904000000078
10,16.0,16.028007424000002,-0.02800742400000189
11,11.0,16.016804454400003,-5.0168044544000026
12,18.0,14.010082672640001,3.989917327359999
13,15.0,15.606049603584001,-0.6060496035840011
14,13.0,15.363629762150401,-2.363629762150401
15,15.0,14.418177857290239,0.5818221427097612
16,13.0,14.650906714374143,-1.650906714374143
17,11.0,13.990544028624484,-2.990544028624484
18,13.0,12.794326417174691,0.2056735828253089
19,10.0,12.876595850304813,-2.8765958503048132
20,12.0,11.725957510182887,0.27404248981711277
21,,11.835574506109733,
22,,11.835574506109733,
23,,11.835574506109733,
24,,11.835574506109733,
